CompoundGroup,ParentCompound_name,CHEBI_key,INCHI_key,CAS_numer,Biomarker_name,Biomarker_abbreviation,Biomarker_varname,BWB = Blood-whole blood (µg/L),BP = Blood-plasma (µg/L),BS = Blood-serum (µg/L),RBC = Red blood cells (µg/L),VAMS = Volumetric absorptive microsample (µg/L),CBWB = Cord blood-whole blood (µg/L),CBP = Cord blood-plasma (µg/L),CBS = Cord blood-serum (µg/L),AF = Amniotic Fluid (µg/L),PLT = Placenta tissue (ng/g),US = Urine- random spot (µg/L),UD = Urine-24h (µg/L),UM = Urine-first morning urine (µg/L),STL = Stool (ng/g),BM = Breast milk (µg/L),SEM = Semen (µg/L),SA = Saliva (µg/L),SPT = Sputum (µg/L),H = Hair (ng/g),TN = Toe nail (ng/g),FN = Finger nail (ng/g),ADI = Adipose Tissue/Fat (µg/L),EBC = Exhaled breath condensate (µg/L),DW = Dermal wipes (µg/cm2),SW = Surface wipe (µg/cm2)
Furans,,CHEBI:81506,,51207-31-9,"2,3,7,8-Tetrachlorodibenzofuran","2,3,7,8-TCDF",pcdf83,,,,,,,,,,,,,,,,,,,,,,,,,
Phthalates,Tri-(2-ethylhexyl) trimellitate,,WXSCEQXIHBEPIQ-UHFFFAOYSA-N,,"2,4-di-(2-ethylhexyl) trimellitate","2,4-DEHTM",twofourdehtm,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,"2,4-Dibromophenol",CHEBI:34238,,615-58-7,"2,4-Dibromophenol","2,4-DBP",dbph,,,,,,,,,,,,,,,,,,,,,,,,,
Anilines and MOCA,"2,4-Dichloroaniline",CHEBI:46635,,,"2,4-Dichloroaniline","2,4DChA",twofourdcha,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,"1,4-Dichlorobenzene",CHEBI:16738,,120-83-2,"2,4-dichlorophenol","2,4-DCP",dcp24,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,,CHEBI:28854,,94-75-7,"2,4-dichlorophenoxyacetic acid",,dcpa,,,,,,,,,,,,,,,,,,,,,,,,,
UV-filters (benzophenones),Benzophenone 3,,,,"2,4-dihydroxylbenzophenone",DHB,dhb,,,,,,,,,,,,,,,,,,,,,,,,,
Diisocyanates;Anilines and MOCA,"2,4-toluenediamine;2,4-Toluenediisocyanate",CHEBI:34237,,95-80-7,"2,4-toluenediamine","2,4 TDA",fourtda,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,"2,4,5-trichlorophenol;HCH;Hexachlorobenzene",CHEBI:28520,,95-95-4,"2,4,5-trichlorophenol","2,4,5-TCP",tcp245,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,,CHEBI:27903,,93-76-5,"2,4,5-trichlorophenoxyacetic acid",,tcpa,,,,,,,,,,,,,,,,,,,,,,,,,
Flame retardants,"2,4,6-Tribromophenol",CHEBI:47696,,118-79-6,"2,4,6-Tribromophenol","2,4,6-TBP",tbph,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,"2,4,6-trichlorophenol;HCH;Hexachlorobenzene",CHEBI:28755,,88-06-2,"2,4,6-trichlorophenol","2,4,6-TCP",tcp246,,,,,,,,,,,,,,,,,,,,,,,,,
Anilines and MOCA,"2,5-Dichloroaniline",CHEBI:34245,,95-82-9,"2,5-Dichloroaniline","2,5DChA",twofivedcha,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,"1,4-Dichlorobenzene",CHEBI:27929,,583-78-8,"2,5-dichlorophenol","2,5-DCP",dcp,,,,,,,,,,,,,,,,,,,,,,,,,
Anilines and MOCA,"2,6-Dichloroaniline",CHEBI:46630,,608-31-1,"2,6-Dichloroaniline","2,6 DChA",twosixdcha,,,,,,,,,,,,,,,,,,,,,,,,,
Pesticides,"1,4-Dichlorobenzene",CHEBI:28457,,87-65-0,"2,6-dichlorophenol","2,6-DCP",dcp26,,,,,,,,,,,,,,,,,,,,,,,,,
Anilines and MOCA,"2,6-Diisopropylaniline",,WKBALTUBRZPIPZ-UHFFFAOYSA-N,,"2,6-Diisopropylaniline",DIPA,dipa,,,,,,,,,,,,,,,,,,,,,,,,,
Diisocyanates;Anilines and MOCA,"2,6-toluenediamine;2,6-Toluenediisocyanate",CHEBI:76288,,823-40-5,"2,6-toluenediamine","2,6 TDA",sixdtda,,,,,,,,,,,,,,,,,,,,,,,,,
